Zipcode,Population,Median Age,Median Household Income,Per Capita Income,Poverty Count,Poverty Rate,Area,success_count
60601,13887.0,37.6,110215.0,95152.0,1171.0,8.432346799164687,Central,4.0
60602,1277.0,31.1,115774.0,77279.0,32.0,2.505873140172279,Central,9.0
60603,1197.0,26.7,140114.0,106207.0,261.0,21.804511278195488,Central,13.0
60604,668.0,40.6,114565.0,130966.0,127.0,19.01197604790419,Central,2.0
60605,26188.0,33.6,107811.0,81144.0,2312.0,8.828471055445242,Central,24.0
60606,2959.0,35.2,139179.0,132803.0,155.0,5.238256167624197,Central,10.0
60607,28928.0,30.1,92240.0,54282.0,5689.0,19.666067477876105,Central,52.0
60608,78877.0,32.2,41226.0,19903.0,17000.0,21.552543834070768,South Side,36.0
60609,60994.0,32.3,33959.0,16491.0,18640.0,30.56038298849067,South Side,2.0
60610,39345.0,33.7,81576.0,80153.0,4689.0,11.91765154403355,Central,15.0
60611,32198.0,40.0,96040.0,102349.0,2906.0,9.025405304677308,Central,29.0
60612,35332.0,31.3,38756.0,24224.0,11377.0,32.20027170836635,West Side,8.0
60613,50553.0,32.2,79565.0,60468.0,5432.0,10.745158546475976,Far North Side,23.0
60614,70225.0,30.2,100116.0,73991.0,6699.0,9.53933784264863,North Side,63.0
60615,40595.0,33.9,41679.0,35387.0,10228.0,25.195221086340684,South Side,6.0
60616,53331.0,36.5,46340.0,31122.0,13036.0,24.44356940616152,Central,26.0
60617,81227.0,37.7,38417.0,19002.0,19706.0,24.260406022627944,Far South East Side,14.0
60618,95218.0,34.1,66246.0,37612.0,11928.0,12.52704320611649,North Side,45.0
60619,62992.0,39.4,32558.0,20675.0,16963.0,26.928816357632716,Far South East Side,3.0
60620,69195.0,40.3,33304.0,18786.0,18905.0,27.321338246983164,Far South West Side,3.0
60621,30496.0,32.2,19845.0,12936.0,13802.0,45.25839454354669,South Side,1.0
60622,53680.0,31.7,87143.0,54639.0,7034.0,13.103576751117735,West Side,63.0
60623,88586.0,30.0,31445.0,12964.0,31356.0,35.396112252500394,West Side,10.0
60624,37665.0,29.4,22467.0,12880.0,16118.0,42.79304393999735,West Side,2.0
60625,80676.0,34.2,63106.0,32916.0,12341.0,15.296990430859239,Far North Side,58.0
60626,49416.0,33.9,39163.0,26849.0,11450.0,23.170632993362474,Far North Side,16.0
60628,67942.0,37.9,38206.0,19510.0,18652.0,27.45282741161579,Far South East Side,4.0
60629,114129.0,30.6,41856.0,16165.0,23084.0,20.226235225052353,South West Side,13.0
60630,57531.0,39.8,70122.0,32067.0,5413.0,9.408840451234987,Far North Side,13.0
60631,29566.0,42.8,82226.0,43669.0,1505.0,5.090306433065007,Far North Side,9.0
60632,91644.0,30.8,42335.0,15928.0,18872.0,20.5927283837458,South West Side,7.0
60633,13202.0,37.8,50164.0,24317.0,2385.0,18.065444629601576,Far South East Side,3.0
60634,74901.0,39.0,62223.0,28216.0,7673.0,10.244188996141574,North West Side,33.0
60636,34461.0,37.6,27573.0,14902.0,11447.0,33.217260091117495,South West Side,0.0
60637,48006.0,30.6,28024.0,23067.0,17100.0,35.620547431571055,South Side,3.0
60638,58990.0,37.7,67045.0,28155.0,4669.0,7.9149008306492625,South West Side,9.0
60639,90767.0,32.2,41307.0,16622.0,21786.0,24.002115306223626,North West Side,14.0
60640,68258.0,37.4,50488.0,39257.0,13808.0,20.22913065135222,Far North Side,60.0
60641,69954.0,35.7,56488.0,27379.0,9233.0,13.198673413957744,North West Side,15.0
60642,19488.0,31.6,92797.0,55727.0,2310.0,11.85344827586207,Central,17.0
60643,51028.0,43.4,59488.0,31039.0,8369.0,16.40079956102532,Far South West Side,7.0
60644,49051.0,32.9,27617.0,14722.0,16258.0,33.14509388187805,West Side,1.0
60645,48269.0,35.5,50589.0,26150.0,9858.0,20.42304584723114,Far North Side,9.0
60646,27865.0,44.3,86534.0,46488.0,1694.0,6.079310963574376,Far North Side,16.0
60647,87707.0,31.6,68223.0,38700.0,14473.0,16.5015335149988,North Side,68.0
60649,44223.0,39.4,24941.0,21633.0,15578.0,35.2260136128259,South Side,4.0
60651,61828.0,33.0,36283.0,16898.0,17227.0,27.862780617196094,West Side,1.0
60652,43582.0,35.7,65770.0,24302.0,5049.0,11.585058051489147,Far South West Side,6.0
60653,31820.0,35.9,28411.0,24282.0,11242.0,35.32998114393463,South Side,2.0
60654,18148.0,32.5,104629.0,98567.0,1420.0,7.824553669825876,Central,41.0
60655,28972.0,38.2,94524.0,38002.0,917.0,3.1651249482258734,Far South West Side,3.0
60656,26896.0,41.4,60575.0,34646.0,2405.0,8.9418500892326,Far North Side,2.0
60657,70103.0,31.2,88708.0,69983.0,6077.0,8.668673237949873,North Side,65.0
60659,40442.0,34.1,50554.0,22921.0,8599.0,21.26254883536917,Far North Side,37.0
60660,42068.0,37.7,45442.0,34042.0,6917.0,16.442426547494534,Far North Side,20.0
60661,9697.0,31.3,104714.0,80692.0,1329.0,13.705269671032278,Central,16.0
