Zipcode,Total,Never Married,Married,Divorced,Separated,Widowed,Area,success_count
60607,26242.0,16181.0,7900.0,1595.0,139.0,427.0,Central,52.0
60609,46985.0,22570.0,16414.0,3319.0,1707.0,2975.0,South Side,2.0
60625,66691.0,29786.0,28691.0,4804.0,1065.0,2345.0,Far North Side,58.0
60646,22336.0,5645.0,12903.0,1844.0,291.0,1653.0,Far North Side,16.0
60652,33967.0,14010.0,14455.0,3039.0,676.0,1787.0,Far South West Side,6.0
60611,30470.0,12545.0,13409.0,3111.0,162.0,1243.0,Central,29.0
60616,46392.0,21798.0,16287.0,4180.0,794.0,3333.0,Central,26.0
60651,48009.0,24141.0,14916.0,4599.0,1407.0,2946.0,West Side,1.0
60604,653.0,360.0,238.0,49.0,6.0,0.0,Central,2.0
60612,28385.0,17846.0,5554.0,2792.0,854.0,1339.0,West Side,8.0
60613,45146.0,25853.0,14916.0,2782.0,552.0,1043.0,Far North Side,23.0
60617,64746.0,30328.0,19902.0,7090.0,2121.0,5305.0,Far South East Side,14.0
60618,76718.0,33378.0,34074.0,4937.0,1331.0,2998.0,North Side,45.0
60624,27971.0,18077.0,4668.0,2076.0,1012.0,2138.0,West Side,2.0
60626,42118.0,22867.0,12561.0,3928.0,1144.0,1618.0,Far North Side,16.0
60630,47535.0,16060.0,23718.0,4016.0,749.0,2992.0,Far North Side,13.0
60632,69125.0,29516.0,30688.0,3776.0,2026.0,3119.0,South West Side,7.0
60645,37323.0,13419.0,18092.0,2848.0,901.0,2063.0,Far North Side,9.0
60653,24695.0,13491.0,4716.0,3247.0,1420.0,1821.0,South Side,2.0
60654,16766.0,10065.0,5347.0,936.0,62.0,356.0,Central,41.0
60657,62594.0,36551.0,20820.0,3711.0,406.0,1106.0,North Side,65.0
60659,31945.0,12407.0,14972.0,2388.0,685.0,1493.0,Far North Side,37.0
60603,1139.0,655.0,388.0,83.0,8.0,5.0,Central,13.0
60614,61543.0,34827.0,21304.0,3707.0,512.0,1193.0,North Side,63.0
60615,34976.0,18759.0,9700.0,3834.0,917.0,1766.0,South Side,6.0
60619,51399.0,27418.0,10161.0,7124.0,1923.0,4773.0,Far South East Side,3.0
60621,23484.0,14662.0,3058.0,2798.0,890.0,2076.0,South Side,1.0
60636,27647.0,15470.0,5524.0,2395.0,1010.0,3248.0,South West Side,
60639,69101.0,31570.0,26983.0,5063.0,2486.0,2999.0,North West Side,14.0
60643,41553.0,17170.0,14821.0,4756.0,1312.0,3494.0,Far South West Side,7.0
60647,72699.0,39944.0,25140.0,4616.0,1042.0,1957.0,North Side,68.0
60642,17304.0,9802.0,5766.0,1139.0,239.0,358.0,Central,17.0
60656,22746.0,6787.0,12334.0,1911.0,391.0,1323.0,Far North Side,2.0
60628,54474.0,28047.0,13247.0,6640.0,2054.0,4486.0,Far South East Side,4.0
60641,57085.0,22977.0,25611.0,4674.0,1283.0,2540.0,North West Side,15.0
60601,12986.0,5621.0,5781.0,807.0,50.0,727.0,Central,4.0
60608,65628.0,35238.0,21154.0,4667.0,2010.0,2559.0,South Side,36.0
60620,57008.0,30160.0,12492.0,6777.0,2126.0,5453.0,Far South West Side,3.0
60634,61682.0,23143.0,29247.0,4461.0,1098.0,3733.0,North West Side,33.0
60637,37949.0,23290.0,7476.0,4106.0,973.0,2104.0,South Side,3.0
60644,37724.0,23248.0,7315.0,3031.0,1174.0,2956.0,West Side,1.0
60605,23929.0,11637.0,9683.0,1809.0,390.0,410.0,Central,24.0
60606,2772.0,1400.0,974.0,318.0,43.0,37.0,Central,10.0
60623,65605.0,36213.0,20620.0,3835.0,2224.0,2713.0,West Side,10.0
60629,86374.0,40416.0,33170.0,6473.0,2273.0,4042.0,South West Side,13.0
60633,10697.0,4528.0,4077.0,1046.0,344.0,702.0,Far South East Side,3.0
60638,47257.0,16720.0,22784.0,4305.0,507.0,2941.0,South West Side,9.0
60640,60393.0,30979.0,19977.0,5484.0,1080.0,2873.0,Far North Side,60.0
60649,35883.0,20548.0,6386.0,4590.0,1569.0,2790.0,South Side,4.0
60655,23117.0,7661.0,12542.0,1465.0,278.0,1171.0,Far South West Side,3.0
60661,9109.0,4984.0,3504.0,529.0,55.0,37.0,Central,16.0
60631,24381.0,7631.0,12849.0,1710.0,239.0,1952.0,Far North Side,9.0
60610,36077.0,20522.0,10506.0,3293.0,314.0,1442.0,Central,15.0
60622,46463.0,26583.0,14695.0,3171.0,663.0,1351.0,West Side,63.0
60660,38050.0,20117.0,11817.0,3764.0,565.0,1787.0,Far North Side,20.0
60602,1123.0,367.0,755.0,1.0,0.0,0.0,Central,9.0
