Zipcode,Total,White,Black,Native American,Asian,Pacific Islander,Other,Area,success_count
60607,28928.0,17396.0,3681.0,30.0,6399.0,26.0,377.0,Central,52.0
60609,60994.0,29002.0,14628.0,402.0,3755.0,12.0,11885.0,South Side,2.0
60625,80676.0,53120.0,3981.0,112.0,11272.0,41.0,8098.0,Far North Side,58.0
60646,27865.0,23611.0,246.0,6.0,2713.0,0.0,745.0,Far North Side,16.0
60652,43582.0,11459.0,20510.0,133.0,325.0,12.0,9717.0,Far South West Side,6.0
60611,32198.0,24530.0,1069.0,51.0,5411.0,0.0,379.0,Central,29.0
60616,53331.0,14923.0,13568.0,101.0,21677.0,0.0,2000.0,Central,26.0
60651,61828.0,9164.0,32826.0,147.0,310.0,0.0,17775.0,West Side,1.0
60604,668.0,418.0,42.0,0.0,208.0,0.0,0.0,Central,2.0
60612,35332.0,9055.0,21980.0,41.0,1511.0,50.0,1837.0,West Side,8.0
60613,50553.0,42148.0,2910.0,146.0,2979.0,3.0,840.0,Far North Side,23.0
60617,81227.0,30899.0,45555.0,97.0,89.0,17.0,3308.0,Far South East Side,14.0
60618,95218.0,76981.0,2347.0,146.0,6143.0,117.0,5959.0,North Side,45.0
60624,37665.0,1320.0,34773.0,19.0,108.0,22.0,1169.0,West Side,2.0
60626,49416.0,29833.0,12193.0,73.0,2801.0,6.0,2773.0,Far North Side,16.0
60630,57531.0,41735.0,853.0,102.0,6893.0,0.0,4976.0,Far North Side,13.0
60632,91644.0,46484.0,1617.0,1082.0,4913.0,15.0,35692.0,South West Side,7.0
60645,48269.0,27541.0,8528.0,189.0,8071.0,0.0,1923.0,Far North Side,9.0
60653,31820.0,1747.0,28674.0,64.0,452.0,9.0,276.0,South Side,2.0
60654,18148.0,14358.0,833.0,52.0,2194.0,0.0,139.0,Central,41.0
60657,70103.0,60743.0,2021.0,98.0,4665.0,11.0,512.0,North Side,65.0
60659,40442.0,22090.0,3428.0,242.0,10978.0,0.0,1961.0,Far North Side,37.0
60603,1197.0,706.0,27.0,0.0,413.0,0.0,0.0,Central,13.0
60614,70225.0,59686.0,3018.0,43.0,4866.0,30.0,606.0,North Side,63.0
60615,40595.0,11727.0,22898.0,127.0,3653.0,0.0,772.0,South Side,6.0
60619,62992.0,955.0,60687.0,20.0,154.0,20.0,295.0,Far South East Side,3.0
60621,30496.0,605.0,29020.0,33.0,68.0,12.0,431.0,South Side,1.0
60636,34461.0,937.0,31378.0,18.0,106.0,8.0,1404.0,South West Side,0.0
60639,90767.0,33698.0,12024.0,221.0,1325.0,37.0,41254.0,North West Side,14.0
60643,51028.0,11458.0,37272.0,66.0,147.0,0.0,510.0,Far South West Side,7.0
60647,87707.0,66653.0,5901.0,294.0,2678.0,42.0,9006.0,North Side,68.0
60642,19488.0,13781.0,1756.0,0.0,1261.0,0.0,1815.0,Central,17.0
60656,26896.0,22794.0,246.0,54.0,1655.0,25.0,1175.0,Far North Side,2.0
60628,67942.0,2889.0,63906.0,48.0,154.0,10.0,372.0,Far South East Side,4.0
60641,69954.0,46882.0,1685.0,250.0,3268.0,86.0,14664.0,North West Side,15.0
60601,13887.0,10384.0,1148.0,68.0,2140.0,0.0,61.0,Central,4.0
60608,78877.0,37203.0,14147.0,529.0,8712.0,0.0,16759.0,South Side,36.0
60620,69195.0,1100.0,66537.0,272.0,191.0,37.0,218.0,Far South West Side,3.0
60634,74901.0,60005.0,1086.0,204.0,3921.0,45.0,8198.0,North West Side,33.0
60637,48006.0,7646.0,36821.0,228.0,2069.0,0.0,253.0,South Side,3.0
60644,49051.0,1921.0,45059.0,60.0,34.0,60.0,1543.0,West Side,1.0
60605,26188.0,15813.0,4631.0,24.0,4420.0,10.0,239.0,Central,24.0
60606,2959.0,2235.0,76.0,0.0,432.0,0.0,54.0,Central,10.0
60623,88586.0,35630.0,28401.0,233.0,96.0,0.0,23199.0,West Side,10.0
60629,114129.0,43074.0,22536.0,367.0,463.0,8.0,45389.0,South West Side,13.0
60633,13202.0,9553.0,2861.0,21.0,45.0,0.0,636.0,Far South East Side,3.0
60638,58990.0,43130.0,1984.0,179.0,380.0,0.0,11042.0,South West Side,9.0
60640,68258.0,44210.0,11877.0,310.0,7574.0,47.0,2259.0,Far North Side,60.0
60649,44223.0,1595.0,41337.0,131.0,270.0,0.0,260.0,South Side,4.0
60655,28972.0,25846.0,2031.0,24.0,493.0,0.0,245.0,Far South West Side,3.0
60661,9697.0,5816.0,398.0,0.0,3198.0,0.0,16.0,Central,16.0
60631,29566.0,26682.0,295.0,11.0,778.0,17.0,716.0,Far North Side,9.0
60610,39345.0,28847.0,6720.0,101.0,2532.0,0.0,428.0,Central,15.0
60622,53680.0,41132.0,3778.0,144.0,2289.0,0.0,4462.0,West Side,63.0
60660,42068.0,28647.0,5517.0,147.0,5038.0,6.0,1373.0,Far North Side,20.0
60602,1277.0,976.0,11.0,57.0,232.0,0.0,0.0,Central,9.0
