Zipcode,Total,In Households,Under 3,3-4,5,6-8,9-11,12-14,15-17,In Group Homes,Area,success_count
60601,998.0,988.0,454.0,146.0,71.0,162.0,68.0,0.0,87.0,10.0,Central,4.0
60602,155.0,149.0,41.0,0.0,0.0,0.0,108.0,0.0,0.0,6.0,Central,9.0
60603,58.0,58.0,18.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,Central,13.0
60604,27.0,27.0,4.0,5.0,0.0,0.0,6.0,0.0,12.0,0.0,Central,2.0
60605,2444.0,2434.0,798.0,253.0,117.0,426.0,320.0,345.0,175.0,10.0,Central,24.0
60606,187.0,187.0,164.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,Central,10.0
60607,2910.0,2870.0,839.0,599.0,115.0,636.0,371.0,119.0,191.0,40.0,Central,52.0
60608,15650.0,15536.0,2497.0,1782.0,685.0,2683.0,3056.0,2503.0,2330.0,114.0,South Side,36.0
60609,16880.0,16875.0,2569.0,2060.0,965.0,2729.0,2834.0,2851.0,2867.0,5.0,South Side,2.0
60610,3715.0,3708.0,1177.0,778.0,149.0,467.0,440.0,257.0,440.0,7.0,Central,15.0
60611,1899.0,1899.0,822.0,202.0,21.0,103.0,363.0,217.0,171.0,0.0,Central,29.0
60612,8590.0,8259.0,1529.0,955.0,529.0,1114.0,1258.0,1518.0,1356.0,331.0,West Side,8.0
60613,6104.0,6104.0,2068.0,595.0,315.0,981.0,771.0,677.0,697.0,0.0,Far North Side,23.0
60614,9706.0,9673.0,2569.0,1381.0,561.0,1526.0,1326.0,1314.0,996.0,33.0,North Side,63.0
60615,6826.0,6820.0,1330.0,840.0,392.0,1104.0,1048.0,905.0,1201.0,6.0,South Side,6.0
60616,8395.0,8357.0,1330.0,987.0,508.0,1316.0,1556.0,1241.0,1419.0,38.0,Central,26.0
60617,20514.0,20495.0,3040.0,1993.0,1026.0,3102.0,3667.0,3640.0,4027.0,19.0,Far South East Side,14.0
60618,20702.0,20650.0,4324.0,2596.0,1274.0,3780.0,3562.0,2946.0,2168.0,52.0,North Side,45.0
60619,14082.0,14075.0,2211.0,2248.0,487.0,2286.0,2159.0,2196.0,2488.0,7.0,Far South East Side,3.0
60620,15136.0,15135.0,2215.0,1530.0,701.0,2397.0,2855.0,2488.0,2949.0,1.0,Far South West Side,3.0
60621,8548.0,8543.0,1257.0,1363.0,478.0,1472.0,1359.0,1080.0,1534.0,5.0,South Side,1.0
60622,8270.0,8265.0,2393.0,1098.0,480.0,1449.0,875.0,921.0,1049.0,5.0,West Side,63.0
60623,27513.0,27513.0,3938.0,3158.0,1553.0,4865.0,4920.0,4547.0,4532.0,0.0,West Side,10.0
60624,11508.0,11496.0,2090.0,1369.0,641.0,1882.0,1992.0,1720.0,1802.0,12.0,West Side,2.0
60625,16038.0,15979.0,3711.0,2391.0,881.0,2720.0,2168.0,2113.0,1995.0,59.0,Far North Side,58.0
60626,8084.0,7965.0,1532.0,1120.0,585.0,1470.0,1400.0,1147.0,711.0,119.0,Far North Side,16.0
60628,16418.0,16418.0,2264.0,1919.0,625.0,2970.0,2784.0,2906.0,2950.0,0.0,Far South East Side,4.0
60629,33896.0,33896.0,4767.0,3892.0,1651.0,5777.0,5795.0,5873.0,6141.0,0.0,South West Side,13.0
60630,11714.0,11705.0,2120.0,1381.0,502.0,1976.0,2064.0,1950.0,1712.0,9.0,Far North Side,13.0
60631,6096.0,6096.0,1047.0,846.0,407.0,1058.0,1021.0,806.0,911.0,0.0,Far North Side,9.0
60632,27502.0,27502.0,3955.0,2694.0,1435.0,4738.0,4870.0,4827.0,4983.0,0.0,South West Side,7.0
60633,3007.0,2998.0,674.0,222.0,188.0,474.0,325.0,618.0,497.0,9.0,Far South East Side,3.0
60634,15963.0,15960.0,3081.0,1743.0,922.0,2493.0,2375.0,2605.0,2741.0,3.0,North West Side,33.0
60636,8205.0,8203.0,1201.0,1008.0,417.0,1353.0,1257.0,1576.0,1391.0,2.0,South West Side,0.0
60637,12085.0,11936.0,2219.0,1393.0,668.0,1953.0,1932.0,1878.0,1893.0,149.0,South Side,3.0
60638,13849.0,13848.0,2291.0,1563.0,795.0,2283.0,2302.0,2498.0,2116.0,1.0,South West Side,9.0
60639,25685.0,25685.0,4323.0,3137.0,1588.0,4735.0,4037.0,3846.0,4019.0,0.0,North West Side,14.0
60640,8762.0,8729.0,2048.0,1208.0,574.0,1650.0,1178.0,1179.0,892.0,33.0,Far North Side,60.0
60641,15412.0,15382.0,2841.0,1818.0,939.0,2319.0,2531.0,2414.0,2520.0,30.0,North West Side,15.0
60642,2365.0,2365.0,645.0,316.0,132.0,420.0,340.0,331.0,181.0,0.0,Central,17.0
60643,11686.0,11651.0,1748.0,1217.0,381.0,1625.0,2199.0,2288.0,2193.0,35.0,Far South West Side,7.0
60644,13698.0,13698.0,2223.0,1907.0,596.0,2472.0,1949.0,2180.0,2371.0,0.0,West Side,1.0
60645,12821.0,12808.0,2581.0,1766.0,632.0,2347.0,1827.0,1789.0,1866.0,13.0,Far North Side,9.0
60646,6286.0,6286.0,999.0,895.0,463.0,1008.0,1033.0,1131.0,757.0,0.0,Far North Side,16.0
60647,17650.0,17616.0,3752.0,2330.0,1143.0,2634.0,2456.0,2684.0,2617.0,34.0,North Side,68.0
60649,9836.0,9824.0,1774.0,1368.0,486.0,1539.0,1641.0,1521.0,1495.0,12.0,South Side,4.0
60651,16907.0,16889.0,2701.0,2155.0,565.0,3106.0,2763.0,2523.0,3076.0,18.0,West Side,1.0
60652,11527.0,11527.0,1661.0,1080.0,635.0,2147.0,1992.0,2100.0,1912.0,0.0,Far South West Side,6.0
60653,8433.0,8433.0,1360.0,1125.0,461.0,1325.0,1287.0,1567.0,1308.0,0.0,South Side,2.0
60654,1399.0,1399.0,825.0,165.0,45.0,213.0,28.0,106.0,17.0,0.0,Central,41.0
60655,7151.0,7150.0,1220.0,925.0,505.0,994.0,1036.0,1174.0,1296.0,1.0,Far South West Side,3.0
60656,4818.0,4818.0,1032.0,501.0,363.0,805.0,485.0,964.0,668.0,0.0,Far North Side,2.0
60657,8052.0,8052.0,2374.0,1473.0,484.0,1139.0,1048.0,991.0,543.0,0.0,North Side,65.0
60659,9934.0,9924.0,1599.0,1119.0,688.0,1603.0,1724.0,1760.0,1431.0,10.0,Far North Side,37.0
60660,4710.0,4639.0,982.0,597.0,291.0,778.0,812.0,556.0,623.0,71.0,Far North Side,20.0
60661,675.0,675.0,431.0,61.0,35.0,11.0,0.0,50.0,87.0,0.0,Central,16.0
