Zipcode,Area
60601,Central
60602,Central
60603,Central
60604,Central
60605,Central
60606,Central
60607,Central
60608,South Side
60609,South Side
60610,Central
60611,Central
60612,West Side
60613,Far North Side
60614,North Side
60615,South Side
60616,Central
60617,Far South East Side
60618,North Side
60619,Far South East Side
60620,Far South West Side
60621,South Side
60622,West Side
60623,West Side
60624,West Side
60625,Far North Side
60626,Far North Side
60627,Far South East Side
60628,Far South East Side
60629,South West Side
60630,Far North Side
60631,Far North Side
60632,South West Side
60633,Far South East Side
60634,North West Side
60635,West Side
60636,South West Side
60637,South Side
60638,South West Side
60639,North West Side
60640,Far North Side
60641,North West Side
60642,Central
60643,Far South West Side
60644,West Side
60645,Far North Side
60646,Far North Side
60647,North Side
60648,Far North Side
60649,South Side
60650,West Side
60651,West Side
60652,Far South West Side
60653,South Side
60654,Central
60655,Far South West Side
60656,Far North Side
60657,North Side
60658,Far South West Side
60659,Far North Side
60660,Far North Side
60661,Central
60666,Far North Side
60686,Central
